74.13, green, white
68.81, green, white
72.08, green, white
37.69, red, black
26.55, red, white
14.45, red, white
65.97, green, black
73.23, green, white
16.69, red, black
75.17, green, white
42.16, red, black
44.35, red, white
70.63, green, black
73.16, green, white
77.47, green, black
31.82, red, white
31.51, red, white
45.24, red, black
19.36, red, white
29.48, red, black
32.92, red, black
24.47, red, white
27.25, red, black
65.47, green, black
66.46, green, black
67.72, green, black
85.2, green, white
72.67, green, white
73.52, green, white
11.22, red, white
65.55, green, white
65.72, green, black
9.25, red, white
63.52, green, black
15.49, red, black
70.81, green, black
33.71, red, white
74.17, green, white
51.69, red, white
67.86, green, black
25.36, red, black
34.88, red, black
63.17, green, black
30.42, red, white
78.3, green, black
69.07, green, white
83.66, green, black
68.93, green, white
19.3, red, white
15.28, red, white
21.38, red, black
48.11, red, black
43.75, red, white
18.65, red, white
71.02, green, white
56.34, green, white
39.98, red, black
29.53, red, white
26.79, red, white
28.16, red, white
45.91, red, white
39.51, red, black
68.06, green, white
83.76, green, black
40.61, red, white
86.49, green, black
75.48, green, white
26.86, red, black
22.57, red, black
75.88, green, white
26.56, red, black
64.21, green, white
67.52, green, white
59.59, green, white
75.85, green, black
19.19, red, black
28.59, red, black
48.96, red, white
69.46, green, black
86.75, green, black
21.81, red, black
62.95, green, white
41.9, red, white
32.14, red, black
58.58, green, black
23.8, red, white
12.4, red, white
61.25, green, black
35.6, red, white
73.89, green, white
36.2, red, white
9.86, red, white
71.19, green, white
77.94, green, white
30.86, red, white
63.44, green, white
27.62, red, black
29.18, red, white
69.74, green, black
74.22, green, white
29.7, red, black
74.07, green, black
82.18, green, black
23.32, red, black
52.23, red, white
51.4, red, black
66.11, green, white
29.16, red, white
15.49, red, white
31.76, red, black
17.31, red, white
35.46, red, white
69.78, green, black
86.19, green, black
69.68, green, white
78.26, green, white
87.64, green, black
24.12, red, white
34.87, red, white
74.08, green, white
68.02, green, black
75.14, green, white
77.69, green, black
34.78, red, black
80.27, green, white
37.0, red, white
53.4, green, white
81.22, green, black
36.14, red, white
34.22, red, white
68.5, green, white
44.72, green, black
29.59, red, white
92.08, green, black
21.55, red, black
61.0, green, black
31.7, red, white
65.4, green, white
67.07, green, white
23.39, red, black
18.97, red, white
15.57, red, white
17.27, red, black
17.39, red, white
46.07, red, white
64.22, green, white
69.47, green, black
38.18, red, white
88.4, green, black
72.55, green, black
64.59, green, white
73.64, green, black
58.62, red, white
28.8, red, white
83.43, green, white
55.58, green, white
27.43, red, white
73.56, green, black
74.1, green, white
90.87, green, black
72.06, green, white
33.16, red, black
35.19, red, white
12.4, red, white
37.35, red, black
63.06, green, black
60.68, green, white
23.52, red, white
62.6, green, black
46.97, red, black
26.3, red, white
42.81, red, black
82.03, green, white
57.43, red, black
32.84, red, white
20.77, red, white
67.39, green, black
37.49, red, white
18.66, red, white
31.97, red, white
21.57, red, white
84.89, green, white
70.33, green, black
79.82, green, black
60.71, green, white
44.83, red, black
25.84, red, white
24.21, red, white
31.29, red, white
15.22, red, black
65.48, green, black
65.32, green, black
69.43, green, black
77.31, green, white
27.36, red, white
69.65, green, white
52.61, green, black
32.6, red, white
24.44, red, white
77.04, green, black
76.28, green, white
26.12, red, white
61.49, green, white
72.66, green, black
12.18, red, black
75.46, green, black
82.56, green, black
29.16, red, black
18.83, red, white
45.96, red, white
34.33, red, white
33.14, red, white
88.5, green, white
44.47, red, white
41.33, red, white
77.09, green, white
69.58, green, white
74.1, green, black
14.57, red, white
27.86, red, white
14.18, red, white
76.42, green, black
54.08, green, white
79.18, green, white
34.58, red, white
25.22, red, black
76.76, green, black
29.71, red, black
21.25, red, black
28.76, red, black
22.86, red, white
40.1, red, black
46.17, green, white
29.37, red, black
40.43, red, white
46.04, red, white
70.81, green, white
69.83, green, white
27.93, red, black
11.41, red, black
25.28, red, black
71.44, green, white
64.23, green, white
71.45, green, white
75.84, green, black
55.23, green, white
84.04, green, black
67.43, green, black
19.76, red, white
23.47, red, black
58.96, green, black
27.56, red, black
54.05, green, white
84.99, green, black
27.33, red, white
60.73, green, white
56.65, green, black
48.19, red, black
17.35, red, black
31.31, red, black
44.25, red, black
46.96, red, black
24.63, red, white
46.54, red, black
27.98, red, white
64.54, green, white
34.9, red, white
66.84, green, white
74.35, green, white
70.4, green, black
89.39, green, white
86.75, green, black
69.95, green, white
92.66, green, black
23.17, red, black
63.35, green, white
21.81, red, white
52.94, green, black
86.32, green, black
73.75, green, black
68.88, green, white
84.9, green, black
39.05, red, black
73.82, green, black
48.39, green, white
74.21, green, white
69.92, green, white
78.89, green, black
79.34, green, white
44.78, green, white
39.25, red, black
47.33, red, white
63.1, green, black
79.2, green, black
74.13, green, white
57.07, green, white
76.56, green, black
39.61, red, black
33.03, red, black
27.09, red, white
65.53, green, black
39.35, red, black
26.33, red, white
65.29, green, white
31.57, red, white
35.55, red, black
67.87, green, white
26.64, red, black
71.96, green, white
33.04, red, black
25.69, red, white
77.82, green, black
34.74, red, black
31.48, red, black
71.18, green, white
20.01, red, white
77.63, green, white
61.88, green, white
88.41, green, black
43.71, red, black
70.35, green, black
29.78, red, white
49.88, red, white
69.11, green, white
25.87, red, white
46.05, red, black
52.84, red, white
78.74, green, white
33.28, red, white
69.94, green, black
65.47, green, white
81.57, green, black
41.66, red, white
69.22, green, white
22.83, red, black
29.29, red, white
18.04, red, black
71.31, green, white
16.9, red, white
85.23, green, white
33.18, red, black
17.77, red, black
29.43, red, white
26.92, red, black
68.77, green, white
67.46, green, white
81.11, green, black
73.78, green, black
24.41, red, white
22.1, red, black
44.74, red, white
38.0, red, black
16.12, red, black
63.91, green, black
80.26, green, black
68.11, green, white
63.71, green, black
69.86, green, white
30.15, red, white
65.52, green, black
72.01, green, white
48.95, green, black
21.12, red, black
71.25, green, black
57.77, green, white
42.45, red, white
30.05, red, black
76.35, green, black
35.36, red, white
30.8, red, white
27.1, red, white
23.1, red, black
77.36, green, black
77.66, green, white
65.7, green, black
43.01, red, white
28.35, red, white
20.3, red, black
67.52, green, black
11.3, red, black
84.22, green, white
81.8, green, black
81.62, green, black
33.85, red, white
10.4, red, black
64.79, green, white
40.81, red, white
68.56, green, black
65.61, green, white
7.0, red, white
28.71, red, black
26.76, red, white
49.5, red, black
20.62, red, white
55.16, green, black
15.16, red, white
38.33, red, black
59.74, green, white
65.97, green, white
23.26, red, black
23.05, red, black
67.45, green, white
44.81, red, black
74.75, green, white
63.04, green, white
69.55, green, white
18.21, red, black
73.48, green, black
23.97, red, white
72.9, green, black
22.44, red, white
23.25, red, black
66.43, green, black
79.55, green, white
70.12, green, white
66.01, green, black
37.86, red, black
80.89, green, white
46.17, green, white
77.28, green, white
70.99, green, black
27.51, red, white
26.02, red, black
14.92, red, white
28.65, red, white
82.98, green, white
34.4, red, white
12.83, red, white
35.03, red, black
73.32, green, white
67.09, green, black
68.31, green, black
62.35, green, black
66.44, green, white
56.96, green, black
15.48, red, black
77.85, green, black
28.49, red, black
68.55, green, white
62.5, green, black
35.29, red, white
24.68, red, white
18.15, red, white
73.35, green, white
73.31, green, black
76.4, green, white
53.91, green, white
44.01, red, white
44.41, red, white
22.74, red, white
78.6, green, black
12.65, red, white
29.78, red, white
31.43, red, white
81.34, green, black
72.22, green, white
67.7, green, white
44.66, red, white
46.4, red, white
73.92, green, black
66.93, green, black
24.92, red, white
20.1, red, black
64.86, green, black
74.89, green, white
31.29, red, black
38.15, red, black
18.63, red, white
17.44, red, black
75.33, green, black
25.8, red, black
0.72, red, black
80.32, green, black
33.49, red, black
30.13, red, black
76.27, green, white
63.18, green, white
40.8, red, black
68.66, green, black
72.56, green, black
25.23, red, white
23.5, red, white
74.37, green, white
21.81, red, white
73.07, green, black
23.82, red, white
64.56, green, black
27.32, red, white
77.09, green, black
37.59, red, black
60.5, green, white
32.23, red, white
43.54, red, white
67.62, green, white
28.85, red, white
63.0, green, white
24.06, red, black
58.13, green, black
59.01, green, white
84.38, green, black
82.15, green, black
23.29, red, white
63.49, green, black
4.15, red, white
51.28, green, black
32.07, red, white
29.66, red, white
55.92, green, black
40.03, green, white
74.6, green, white
25.35, red, white
75.59, green, white
5.53, red, black
73.7, green, white
61.31, green, black
18.52, red, black
16.32, red, white
27.78, red, white
27.8, red, white
56.56, green, white
26.04, red, white
58.86, green, white
32.02, red, black
70.9, green, white
22.95, red, black
22.49, red, white
60.21, green, black
90.5, green, black
32.29, red, white
69.53, green, white
63.71, green, black
74.63, green, white
86.91, green, white
32.53, red, black
57.78, green, black
84.09, green, white
24.28, red, white
23.56, red, black
16.05, red, black
28.41, red, white
72.81, green, black
54.06, red, black
5.18, red, black
63.62, green, white
38.69, red, white
61.51, green, black
72.17, green, white
44.3, red, white
71.2, green, white
41.56, red, white
42.82, red, white
36.01, red, black
29.64, red, white
83.83, green, black
51.17, red, white
81.47, green, white
59.33, green, white
71.75, green, white
20.76, red, white
43.38, red, white
64.08, green, black
63.29, green, black
72.0, green, white
16.68, red, black
80.3, green, white
32.14, red, black
67.86, green, black
26.83, red, white
70.88, green, white
67.35, green, white
28.62, red, black
40.89, green, black
27.08, red, white
43.88, red, black
16.84, red, black
41.31, red, black
24.74, red, black
41.47, red, white
45.08, red, black
26.18, red, black
29.67, red, black
73.51, green, white
79.37, green, white
22.14, red, black
72.89, green, black
17.8, red, white
31.56, red, white
43.56, red, black
30.88, red, white
52.86, green, black
37.36, red, white
82.25, green, black
51.24, red, white
63.46, green, black
28.36, red, black
27.68, red, white
25.04, red, white
28.32, red, black
38.16, red, black
65.14, green, white
22.42, red, black
64.81, green, black
31.19, red, black
25.96, red, black
77.63, green, black
35.87, red, black
59.11, green, white
41.5, red, white
61.07, green, black
58.04, green, white
58.95, green, black
10.65, red, black
64.81, green, white
72.86, green, black
15.63, red, white
16.17, red, white
28.0, red, white
68.11, green, white
62.06, green, white
76.62, green, white
25.07, red, white
27.75, red, black
54.81, green, black
74.69, green, black
43.52, red, black
78.25, green, black
18.09, red, white
84.5, green, white
67.09, green, white
72.22, green, white
67.27, green, white
15.07, red, white
61.12, green, black
26.12, red, black
40.88, red, white
36.38, red, black
85.63, green, black
39.7, red, white
13.66, red, white
82.72, green, white
29.87, red, black
23.95, red, white
16.77, red, white
77.35, green, black
27.02, red, black
18.05, red, black
31.45, red, white
54.55, green, black
19.15, red, white
83.89, green, black
93.32, green, black
82.57, green, white
81.96, green, white
58.33, green, black
35.56, red, black
70.08, green, black
41.74, red, white
40.78, red, white
81.29, green, white
46.92, red, white
25.76, red, black
95.2, green, black
47.76, red, white
43.28, red, black
80.09, green, black
82.09, green, black
37.17, red, black
66.82, green, white
44.34, red, black
67.42, green, black
22.0, red, black
78.81, green, white
23.47, red, black
47.46, red, black
79.11, green, white
65.65, green, black
42.57, red, black
65.22, green, black
57.63, green, white
28.3, red, white
30.75, red, black
58.86, green, black
26.96, red, black
31.66, red, white
74.64, green, white
37.95, red, black
42.11, red, black
74.28, green, white
20.37, red, white
25.54, red, white
28.27, red, white
34.66, red, black
65.27, green, white
66.37, green, black
37.96, red, white
63.24, green, black
19.82, red, black
4.53, red, white
75.97, green, black
31.01, red, black
68.3, green, white
32.54, red, black
24.7, red, white
30.19, red, white
85.26, green, white
35.07, red, black
58.77, green, white
8.75, red, white
72.85, green, black
50.53, red, black
61.14, green, black
73.8, green, black
62.07, green, white
47.1, red, black
70.25, green, black
44.07, red, black
74.99, green, black
35.56, red, white
26.99, red, black
79.96, green, black
61.08, green, black
86.26, green, black
39.06, red, black
87.39, green, white
68.63, green, black
11.89, red, white
88.94, green, white
63.67, green, white
71.68, green, white
72.2, green, white
71.04, green, black
13.67, red, black
18.09, red, black
37.15, red, black
28.4, red, white
69.45, green, white
38.05, red, white
41.84, red, white
66.4, green, black
23.54, red, white
72.16, green, white
26.67, red, black
73.18, green, white
56.98, green, black
35.16, red, black
72.48, green, white
-0.41, red, black
20.07, red, white
34.21, red, white
22.15, red, white
62.13, green, black
75.56, green, black
32.62, red, white
77.1, green, black
38.01, red, black
27.36, red, black
71.52, green, white
55.93, red, black
89.63, green, white
73.96, green, black
39.6, red, white
39.91, red, black
27.24, red, white
34.9, red, white
25.51, red, white
22.09, red, black
37.77, red, white
53.48, green, black
39.1, red, white
21.36, red, white
42.69, red, black
27.45, red, black
73.56, green, white
55.46, green, black
26.45, red, white
68.8, green, black
24.48, red, black
40.52, red, black
82.21, green, white
72.48, green, black
67.72, green, white
71.61, green, white
80.74, green, white
20.36, red, white
20.25, red, black
77.28, green, black
58.44, green, black
26.3, red, white
71.65, green, black
67.15, green, black
64.12, green, white
69.89, green, white
26.75, red, white
64.02, green, white
27.94, red, white
25.17, red, white
23.57, red, white
67.68, green, white
24.51, red, black
39.52, red, black
37.04, red, white
62.56, green, black
39.44, red, white
44.2, red, black
55.81, green, white
21.58, red, white
41.33, red, black
64.75, green, black
52.22, red, white
24.6, red, white
34.13, red, white
33.33, red, white
41.77, red, black
67.29, green, black
55.36, green, black
34.88, red, black
44.59, red, white
28.62, red, white
5.76, red, black
86.19, green, white
36.73, red, white
38.14, red, white
51.18, green, black
33.37, red, black
76.24, green, white
81.21, green, white
63.68, green, black
59.44, green, white
29.99, red, white
38.59, red, white
67.98, green, white
51.1, red, black
26.55, red, white
35.16, red, white
22.44, red, black
84.31, green, black
48.61, green, black
50.04, green, white
80.32, green, white
59.09, green, white
33.75, red, white
11.37, red, white
13.9, red, white
81.86, green, black
76.85, green, white
27.39, red, white
61.11, green, white
16.51, red, black
53.22, red, white
70.15, green, black
35.79, red, white
30.43, red, black
45.7, green, white
50.35, green, white
77.32, green, white
47.91, red, white
77.81, green, white
86.06, green, black
89.16, green, white
77.07, green, white
79.29, green, white
83.73, green, black
28.52, red, white
82.97, green, white
38.52, red, black
36.97, red, white
51.72, red, black
28.81, red, black
44.48, red, white
26.25, red, black
40.35, red, black
28.87, red, white
58.24, green, black
69.12, green, white
28.95, red, black
59.67, green, black
35.58, red, white
62.31, green, white
24.44, red, white
82.46, green, white
24.96, red, white
15.82, red, black
65.4, green, black
69.44, green, white
53.17, red, white
59.93, green, white
21.59, red, white
83.73, green, black
59.75, green, black
79.57, green, white
33.52, red, white
31.67, red, black
79.51, green, black
59.01, green, white
72.8, green, black
77.08, green, white
45.71, red, black
71.73, green, black
32.01, red, black
60.12, green, white
68.79, green, white
75.07, green, white
34.56, red, black
67.07, green, white
32.4, red, white
37.37, red, black
74.36, green, black
35.96, red, black
11.15, red, black
78.08, green, white
27.47, red, white
38.44, red, black
21.72, red, white
89.86, green, black
29.13, red, white
28.15, red, white
68.33, green, black
32.13, red, black
67.74, green, white
77.07, green, black
85.68, green, white
15.31, red, white
27.7, red, white
69.63, green, black
14.11, red, black
35.06, red, white
33.9, red, white
73.9, green, white
80.91, green, white
56.77, green, white
65.9, green, black
58.32, green, black
62.7, green, white
16.49, red, black
30.98, red, black
69.48, green, white
78.91, green, white
74.1, green, black
24.04, red, black
79.36, green, black
18.74, red, white
32.32, red, black
60.04, green, black
63.87, green, black
49.51, red, black
20.65, red, black
34.27, red, black
71.49, green, white
44.9, red, white
78.5, green, white
84.43, green, white
65.23, green, black
78.06, green, white
82.84, green, black
25.76, red, white
75.21, green, black
44.35, red, white
77.28, green, black
49.78, red, white
70.77, green, black
28.16, red, black
58.47, green, black
27.38, red, black
32.1, red, black
68.31, green, black
69.48, green, black
55.82, green, black
14.35, red, white
26.26, red, black
23.02, red, black
29.82, red, black
32.42, red, white
27.25, red, black
22.58, red, black
30.97, red, white
38.84, red, white
65.91, green, black
59.01, green, white
54.91, green, black
65.67, green, black
76.48, green, white
13.35, red, white
69.36, green, white
24.28, red, white
68.5, green, black
81.08, green, white
71.14, green, white
40.66, red, white
75.33, green, white
46.29, red, white
77.07, green, white
21.69, red, white
30.51, red, black
63.48, green, black
37.64, red, white
13.45, red, white
31.48, red, black
82.17, green, white
60.98, green, white
72.77, green, black
72.55, green, white
61.72, green, black
79.89, green, white
65.92, green, black
15.85, red, black
73.54, green, black
34.45, red, black
34.96, red, black
48.29, green, black
63.41, green, black
40.58, red, white
69.41, green, black
72.49, green, black
63.34, green, white
60.71, green, black
19.47, red, white
80.0, green, black
34.19, red, black
65.78, green, black
68.75, green, black
66.78, green, white
22.55, red, black
57.32, green, black
50.94, green, white
14.76, red, black
26.33, red, black
67.98, green, black
26.26, red, white
79.07, green, black
40.87, red, black
24.67, red, black
90.34, green, white
69.17, green, black
70.7, green, white
67.48, green, white
52.99, green, black
88.42, green, white
15.78, red, white
47.14, red, black
55.9, green, white
71.79, green, white
61.84, green, white
22.45, red, white
10.63, red, white
36.29, red, black
31.32, red, black
25.88, red, white
46.46, red, white
30.64, red, black
61.94, green, black
35.65, red, black
63.36, green, white
45.6, red, white
25.95, red, black
23.6, red, white
54.24, green, black
40.06, red, white
77.08, green, black
45.37, red, black
31.92, red, white
21.72, red, black
66.51, green, white
47.08, red, white
79.39, green, white
58.91, green, white
26.24, red, black
69.78, green, black
64.46, green, white
17.36, red, black
78.24, green, white
29.53, red, black
63.55, green, black
73.14, green, white
95.46, green, white
74.93, green, black
17.13, red, white
33.0, red, white
37.9, red, white
64.66, green, white
35.93, red, white
77.5, green, white
32.15, red, black
72.09, green, black
15.31, red, white
80.75, green, white
59.42, green, black
23.46, red, black
75.1, green, black
67.12, green, white
30.19, red, black
69.69, green, white
71.92, green, white
49.3, red, white
79.48, green, white
30.71, red, white
64.97, red, white
72.49, green, white
52.94, green, black
47.19, red, white
25.49, red, white
25.07, red, white
43.81, red, black
72.45, green, black
41.32, red, black
40.4, red, black
35.51, red, white
31.84, red, white
30.83, red, black
30.87, red, black
72.69, green, black
24.24, red, white
34.43, red, black
28.99, red, black
61.89, green, white
72.36, green, white
31.99, red, black
80.13, green, white
19.91, red, black
61.1, green, black
24.39, red, black
29.7, red, black
54.61, green, white
62.7, green, white
68.36, green, white
37.19, red, black
67.15, green, white
52.69, red, white
15.01, red, black
74.1, green, black
95.65, green, black
59.63, green, black
59.23, green, black
36.36, red, black
48.55, green, black
65.87, green, black
49.03, green, black
53.54, green, white
31.13, red, white
20.74, red, black
59.1, red, black
23.59, red, black
23.63, red, black
70.95, green, white
20.74, red, black
39.53, red, white
70.25, green, white
66.97, green, black
32.93, red, white
9.52, red, white
16.76, red, black
28.59, red, black
89.6, green, black
23.0, red, white
33.54, red, white
38.87, red, white
68.34, green, black
74.13, green, black
78.8, green, white
29.47, red, white
30.61, red, black
0.78, red, black
35.31, red, black
65.34, green, black
13.59, red, black
17.7, red, black
37.18, red, white
29.1, red, black
26.16, red, white
71.75, green, black
30.62, red, black
35.23, red, black
68.19, green, black
49.25, green, white
31.9, red, white
2.74, red, black
80.86, green, black
30.73, red, black
31.27, red, black
80.18, green, white
50.33, red, black
87.08, green, black
41.69, red, white
58.96, green, black
53.47, green, white
28.21, red, white
68.01, green, black
64.27, green, black
16.66, red, white
69.38, green, black
90.1, green, white
13.87, red, black
27.02, red, black
25.07, red, black
36.58, red, white
32.64, red, black
75.97, green, black
11.4, red, white
28.92, red, black
72.39, green, white
41.98, red, black
16.59, red, white
27.78, red, black
46.83, green, black
37.33, red, white
63.7, green, white
48.45, red, black
36.95, red, white
41.67, red, black
74.84, green, white
67.61, green, white
63.22, green, black
28.59, red, black
68.73, red, black
36.01, red, white
69.47, green, white
64.93, green, black
61.13, green, black
31.81, red, white
81.51, green, black
73.07, green, white
27.06, red, white
61.33, green, black
54.51, green, white
85.94, green, white
43.43, green, black
19.15, red, black
60.66, green, black
45.45, red, white
64.65, green, white
55.7, green, black
24.96, red, black
19.9, red, white
78.84, green, white
60.52, green, black
56.99, green, white
81.88, green, black
62.98, green, white
20.99, red, white
24.46, red, black
18.74, red, black
15.31, red, white
58.26, green, white
67.68, green, black
25.73, red, black
72.17, green, white
15.13, red, white
46.33, red, black
31.6, red, black
60.56, green, black
73.44, green, black
79.51, green, white
76.16, green, black
29.59, red, white
94.5, green, black
27.29, red, white
70.97, green, white
34.52, red, black
38.42, red, white
73.37, green, white
33.85, red, black
12.54, red, white
75.75, green, white
67.12, green, black
4.62, red, black
56.88, green, white
50.17, red, black
73.69, green, black
53.01, green, black
39.1, red, black
71.03, green, black
38.55, red, black
69.47, green, black
75.84, green, black
43.87, red, black
15.66, red, black
28.05, red, black
74.19, green, black
64.95, green, white
56.61, green, white
16.45, red, white
72.3, green, black
30.83, red, white
23.56, red, black
12.2, red, black
35.98, red, white
37.5, red, black
80.02, green, black
22.58, red, black
28.15, red, black
55.3, green, black
41.57, red, white
28.57, red, black
65.42, green, black
28.08, red, black
31.83, red, black
67.17, green, white
27.02, red, white
20.78, red, white
79.74, green, white
27.55, red, black
73.55, green, white
25.02, red, black
34.16, red, white
44.61, red, black
27.76, red, black
62.09, green, white
78.69, green, black
29.17, red, black
43.46, red, black
37.05, red, white
70.52, green, black
28.9, red, black
74.42, green, black
18.08, red, black
30.58, red, black
25.09, red, black
64.71, green, white
71.51, green, white
19.4, red, white
37.47, red, white
44.29, red, black
16.15, red, black
33.92, red, white
58.35, green, white
82.12, green, white
42.78, red, black
42.28, red, white
57.57, green, white
69.09, green, black
17.24, red, black
96.26, green, black
18.46, red, white
41.41, red, black
53.7, green, white
95.27, green, black
33.06, red, black
32.26, red, black
79.26, green, black
79.07, green, white
62.14, green, black
22.57, red, white
36.4, green, black
72.81, green, black
43.43, red, black
69.09, green, white
21.08, red, white
56.04, green, black
79.42, green, white
23.15, red, white
10.17, red, white
16.48, red, black
41.78, red, black
77.01, green, black
77.32, green, black
44.34, red, white
72.91, green, black
83.32, green, black
25.78, red, black
30.67, red, black
27.58, red, black
39.52, red, black
94.56, green, white
27.52, red, white
37.71, red, white
29.77, red, black
60.87, green, black
41.5, red, black
68.05, green, black
19.82, red, black
29.15, red, white
59.42, green, black
71.27, green, white
46.78, red, white
75.49, green, white
58.29, green, black
50.56, green, black
13.3, red, black
72.94, green, black
86.36, green, black
47.96, red, black
59.66, green, white
66.05, green, black
41.03, red, white
79.72, green, black
64.98, green, white
24.38, red, black
40.61, green, black
50.89, red, black
85.8, green, white
29.1, red, white
57.83, green, black
56.43, green, white
27.71, red, black
19.04, red, white
16.37, red, white
67.47, green, black
70.08, green, white
77.73, green, white
13.22, red, white
62.18, green, white
30.07, red, black
47.57, red, black
65.61, green, white
39.4, red, white
36.91, red, white
31.67, red, white
69.06, green, black
37.51, red, black
68.29, green, white
16.83, red, black
33.94, red, black
30.22, red, black
37.52, red, white
64.41, green, white
68.11, green, white
30.99, red, white
73.91, green, black
28.46, red, white
31.38, red, white
48.65, red, black
26.9, red, white
19.29, red, white
55.79, green, white
32.46, red, white
41.34, red, white
86.56, green, black
59.64, green, black
63.81, green, black
26.27, red, black
28.11, red, white
73.09, green, white
73.26, green, black
31.54, red, white
66.0, green, white
88.72, green, black
55.38, green, black
77.44, green, white
23.9, red, black
73.99, green, white
76.53, green, black
46.56, red, white
79.2, green, black
23.19, red, black
19.95, red, white
33.81, red, black
74.92, green, white
77.62, green, white
86.64, green, white
63.71, green, black
44.68, red, white
31.04, red, white
19.76, red, white
15.47, red, black
28.12, red, black
43.14, red, black
28.4, red, white
74.11, green, black
24.88, red, black
53.52, green, white
74.97, green, white
71.92, green, white
46.37, red, black
29.13, red, black
21.35, red, white
53.83, green, black
70.73, green, white
83.49, green, white
16.27, red, black
37.69, red, black
90.53, green, white
36.65, red, white
17.38, red, black
68.43, green, black
63.48, green, black
66.24, green, white
68.39, green, white
39.19, red, white
32.99, red, black
59.57, green, black
29.92, red, white
60.36, green, black
75.69, green, black
36.52, red, white
57.98, green, white
85.79, green, white
62.58, green, black
48.15, red, white
23.05, red, black
63.02, green, black
19.61, red, white
68.3, green, black
11.3, red, black
90.24, green, black
76.51, green, white
35.61, red, white
48.87, red, white
21.39, red, black
45.77, green, white
33.19, red, white
32.51, red, black
41.33, red, white
73.68, green, white
86.18, green, black
71.5, green, black
80.17, green, white
64.97, green, black
64.64, green, white
59.3, green, white
65.08, green, black
37.91, red, black
75.7, green, white
71.82, green, black
79.0, green, black
65.86, green, black
76.34, green, black
56.27, green, white
